,Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,Oddzały przygotowania wojskowego,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy branżowa szkoła II stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,samodzielna lub zespół - Czy szkoła kształcąca w zawodzie w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""","długość geograficzna 
(w stopniach)","szerokość geograficzna 
(w stopniach)",długość geograficzna (w metrach),szerokość geograficzna (w metrach),Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE),Czas pracy przedszkola - od,Czas pracy przedszkola - do
173,LO_049,LO_049,799003.0,799003.0,22922.0,22922.0,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Wierzbno,ul. Fryderyka Joliot-Curie,14,02-646,Cezary,Serzysko,228441321,226468140,http://www.lo49.pol.pl,http://lo49.pol.pl ,lo49@edu.um.warszawa.pl,49.0,nie,jednostka budżetowa,563.0,,563.0,18.0,,18.0,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/22922,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,01016092","52,19062507","7500694,81","5784108,88",,,218.0,,
174,LO_051,LO_051,799115.0,799115.0,59581.0,59581.0,LI Liceum Ogólnokształcące im. Tadeusza Kościuszki,LI Liceum Ogólnokształcące im. Tadeusza Kościuszki,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Rembertów,Stary Rembertów,ul. Kadrowa,9,04-421,Elżbieta,Szepietowska-Paluch,226119391,226119391,http://www.lilo.edu.pl,http://e-bip.org.pl/lilo,lo51@lilo.edu.pl,51.0,nie,jednostka budżetowa,440.0,,440.0,17.0,,17.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/59581,,Poradnia Psychologiczno-Pedagogiczna nr 23,,,"21,16708017","52,2652433","7511405,91","5792424,24",,,230.0,,
175,LO_056,LO_056,799279.0,799279.0,105214.0,105214.0,LVI Liceum Ogólnokształcące im. Rotmistrza Witolda Pileckiego,LVI Liceum Ogólnokształcące im. Rotmistrza Witolda Pileckiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursus,Skorosze,ul. Dzieci Warszawy,42,02-495,Beata,Żeromska,226626412,226626412,http://www.56lo.waw.pl,http://lo56.bip.um.warszawa.pl,lo56@edu.um.warszawa.pl,56.0,nie,jednostka budżetowa,479.0,,479.0,17.0,,17.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/105214,,Poradnia Psychologiczno-Pedagogiczna nr 15,,,"20,89889289","52,19607319","7493087,076","5784719,822",,,242.0,,
176,LO_059,LO_059,15762623.0,15762623.0,27158.0,27158.0,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Wrzeciono,ul. Samuela Bogumiła Lindego,20,01-952,Dorota,Grabiec,228348658,228348658,http://www.kusy.edu.pl,http://lo59.bip.um.warszawa.pl,lo59@edu.um.warszawa.pl,59.0,tak,jednostka budżetowa,745.0,,745.0,24.0,,24.0,nie,nie,nie,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/27158,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,94495563","52,28802751","7496244,261","5794947,578",,,207.0,,
177,LO_062,LO_062,15807159.0,15807159.0,30794.0,30794.0,LXII Liceum Ogólnokształcące Mistrzostwa Sportowego im. Generała Broni Władysława Andersa,LXII Liceum Ogólnokształcące Mistrzostwa Sportowego im. Generała Broni Władysława Andersa,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Nowe Miasto,ul. Konwiktorska,5/7,00-216,Anna,Szymczyk,228316753,228313643,http://www.anders.edu.pl,http://lo62.bip.um.warszawa.pl,sekretariat@anders.edu.pl,62.0,nie,jednostka budżetowa,640.0,,640.0,23.0,,23.0,nie,nie,tak,tak,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/30794,,Poradnia Psychologiczno-Pedagogiczna nr 12,,,"21,00349466","52,25473989","7500238,623","5791242,446",,,400.0,,
178,LO_063,LO_063,6471999.0,6471999.0,18789.0,18789.0,LXIII Liceum Ogólnokształcące im. Lajosa Kossutha,LXIII Liceum Ogólnokształcące im. Lajosa Kossutha,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Ursynów-Centrum,ul. Ludwika Hirszfelda,11,02-776,Anna,Jurek,226431077,226431077,http://www.liceum63.edu.pl,http://liceum63.edu.pl/BIP,sekretariat@liceum63.edu.pl,63.0,nie,jednostka budżetowa,527.0,,527.0,20.0,,20.0,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/18789,,Poradnia Psychologiczno-Pedagogiczna nr 18,,,"21,04050606","52,14529113","7502772,647","5779065,661", certyfikat Wars i Sawa,,407.0,,
179,LO_064,LO_064,15788315.0,15788315.0,39649.0,39649.0,"LXIV Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza ""Witkacego""","LXIV Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza ""Witkacego""",liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Żoliborz,Sady Żoliborskie,ul. Elbląska,51,01-737,Beata,Zdanowicz,226332404,226332414,http://www.liceum64.pl,http://www.liceum64.pl/bip,lo64@edu.um.warszawa.pl,64.0,nie,jednostka budżetowa,551.0,,551.0,18.0,,18.0,nie,nie,nie,nie,nie,nie,nie,nie,tak,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/39649,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,96163633","52,26333183","7497380,949","5792199,104", certyfikat Wars i Sawa,,485.0,,
180,LO_065,LO_065,15824784.0,15824784.0,22932.0,22932.0,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Służewiec,ul. Marynarska,2/6,02-674,Małgorzata,Pucułek,228433713,228433713,http://www.bem.waw.pl,http://bem.bip.gov.pl,lo65@edu.um.warszawa.pl,65.0,nie,jednostka budżetowa,548.0,,548.0,24.0,,24.0,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/22932,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"20,99847496","52,17939079","7499895,69","5782858,881", certyfikat Wars i Sawa,,14.0,,
181,LO_067,LO_067,10524505.0,10524505.0,30253.0,30253.0,LXVII Liceum Ogólnokształcące im. Jana Nowaka-Jeziorańskiego,LXVII Liceum Ogólnokształcące im. Jana Nowaka-Jeziorańskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Śródmieście Południowe,ul. Hoża,11/15,00-528,Monika,Wojtaś,226297063,226297063,http://jezioranski.edu.pl,http://lo67.bip.um.warszawa.pl,sekretariat@jezioranski.edu.pl,67.0,nie,jednostka budżetowa,509.0,,509.0,17.0,,17.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/30253,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,01950817","52,22721497","7501332,886","5788180,104",,,462.0,,
182,LO_068,LO_068,15452035.0,15452035.0,24346.0,24346.0,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,LXVIII Liceum Ogólnokształcące im. Tytusa Chałubińskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Stary Mokotów,ul. Ludwika Narbutta,31,02-536,Anna,Filipowska,226465276,226465276,http://www.68lo.edu.pl,http://68lo.edu.pl/bip.html,lo68@edu.um.warszawa.pl,68.0,nie,jednostka budżetowa,471.0,,471.0,17.0,,17.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/24346,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,01512763","52,20602963","7501034,08","5785822,89", certyfikat Wars i Sawa,,864.0,,
183,LO_069,LO_069,15766058.0,15766058.0,29239.0,29239.0,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,LXIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ochota,Szczęśliwice,ul. Stanisława Skarżyńskiego,8,02-377,Anna,Jaroszek,228229989,228229989,http://lo69.pl,http://www.bip.lo69.pl,sekretariat@lo69.edu.pl,69.0,nie,jednostka budżetowa,445.0,,445.0,23.0,,23.0,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/29239,,Poradnia Psychologiczno-Pedagogiczna nr 9,,,"20,97160152","52,20776335","7498058,84","5786016,06",,,41.0,,
184,LO_070,LO_070,11134396.0,11134396.0,19073.0,19073.0,LXX Liceum Ogólnokształcące im. Aleksandra Kamińskiego,LXX Liceum Ogólnokształcące im. Aleksandra Kamińskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Ursynów Północny,ul. Edwarda Dembowskiego,1,02-784,Andrzej,Woźniak,226418290,226436024,http://www.kamyk.warszawa.pl,http://bip.kamyk.warszawa.pl,liceum@kamyk.warszawa.pl,70.0,nie,jednostka budżetowa,533.0,,533.0,18.0,,18.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/19073,,Poradnia Psychologiczno-Pedagogiczna nr 18,,,"21,0337722","52,15383046","7502311,271","5780015,525", certyfikat Wars i Sawa,,477.0,,
185,LO_072,LO_072,15810470.0,15810470.0,88067.0,88067.0,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,LXXII Liceum Ogólnokształcące im. gen. Jakuba Jasińskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Kamionek,ul. Grochowska,346/348,03-838,Bożena,Kozak,226191360,226191360,http://jasinski.edu.pl,http://jasinski.edu.pl/BIP,sekretariat@jasinski.edu.pl,72.0,nie,jednostka budżetowa,608.0,,608.0,20.0,,20.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/88067,,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,05392493","52,24764098","7503682,703","5790453,96", certyfikat Wars i Sawa,"tak, podobszar: Praga Południe - Podobszar kryzysowy Pragi Południe",903.0,,
186,LO_075,LO_075,10734830.0,10734830.0,30254.0,30254.0,LXXV Liceum Ogólnokształcące im. Jana III Sobieskiego,LXXV Liceum Ogólnokształcące im. Jana III Sobieskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Ujazdów,ul. Czerniakowska,128,00-454,Magdalena,Kochel,228414266,228404579,http://www.sobieski.edu.pl,http://www.sobieski.bipdlaszkol.pl,sekretariat@sobieski.edu.pl,75.0,nie,jednostka budżetowa,728.0,,728.0,24.0,,24.0,nie,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/30254,,Poradnia Psychologiczno-Pedagogiczna nr 1,,,"21,04620829","52,21797772","7503157,814","5787153,166", certyfikat Wars i Sawa,,465.0,,
187,LO_076,LO_076,10854160.0,10854160.0,21092.0,21092.0,LXXVI Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego,LXXVI Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Nowa Praga,ul. Kowelska,1,03-432,Izabela,Nowak-Piłka,226193083,226193083,http://www.pilsudski.edu.pl,http://lo76_warszawa.ssdip.bip.gov.pl,pilsudski@pilsudski.edu.pl,76.0,nie,jednostka budżetowa,648.0,,648.0,23.0,,23.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/21092,,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,03999015","52,26232396","7502730,151","5792087,024",,tak,469.0,,
188,LO_078,LO_078,15289776.0,15289776.0,43385.0,43385.0,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Jelonki Południowe,ul. Anieli Krzywoń,3,01-391,Magdalena,Lipińska,226644049,226644049,http://www.pawlikowska.edu.pl,http://www.pawlikowska.edu.pl/bip.php,sekretariat@pawlikowska.edu.pl,78.0,nie,jednostka budżetowa,805.0,,805.0,27.0,,27.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/43385,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,91863041","52,22697841","7494440,434","5788156,724", certyfikat Wars i Sawa,,493.0,,
189,LO_081,LO_081,15803233.0,15803233.0,22927.0,22927.0,LXXXI Liceum Ogólnokształcące im. Aleksandra Fredry,LXXXI Liceum Ogólnokształcące im. Aleksandra Fredry,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Muranów,ul. Miła,7,00-180,Joanna,Kaleta-Szabłowska,228311454,228311454,http://www.fredro.pl,http://biuletyn.informacji.publicznej.com/entities/view/8746,sekretariat@fredro.pl,81.0,nie,jednostka budżetowa,482.0,,482.0,15.0,,15.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/22927,,Poradnia Psychologiczno-Pedagogiczna nr 12,,,"20,99130008","52,2508171","7499405,898","5790806,011", certyfikat Wars i Sawa,,894.0,,
190,LO_086,LO_086,12210627.0,12210627.0,16428.0,16428.0,"LXXXVI Liceum Ogólnokształcące im. Batalionu ""Zośka""","LXXXVI Liceum Ogólnokształcące im. Batalionu ""Zośka""",liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Ulrychów,ul. Kajetana Garbińskiego,1,01-122,Katarzyna,Zajączkowska,228364838,228364838,https://zoska.edupage.org,http://www.zoska.home.pl/bip/index.html,sekretariat@zoska.waw.pl,86.0,nie,jednostka budżetowa,511.0,,511.0,19.0,,19.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/16428,,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,94380176","52,23500525","7496160,955","5789048,184", certyfikat Wars i Sawa,,498.0,,
191,LO_094,LO_094,15761345.0,15761345.0,34505.0,34505.0,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Marymont-Ruda,ul. Gwiaździsta,35,01-651,Anna,Pawłowska,228330258,228330258,http://www.maczek.waw.pl,http://lo94.bip.um.warszawa.pl,sekretariat@maczek.waw.pl,94.0,nie,jednostka budżetowa,790.0,,790.0,26.0,,26.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/34505,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,97691514","52,28638065","7498424,836","5794763,165",,,479.0,,
192,LO_099,LO_099,12760428.0,12760428.0,88068.0,88068.0,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Grochów,ul. Fundamentowa,38/42,04-036,Bożena,Gromadzka,226719927,226719927,http://www.herbert99lo.edu.pl,http://lo99.bip.um.warszawa.pl,sekretariat@herbert99lo.edu.pl,99.0,nie,jednostka budżetowa,687.0,,687.0,23.0,,23.0,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/88068,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,0818389","52,23834068","7505590,204","5789420,963", certyfikat Wars i Sawa,,544.0,,
193,LO_105,LO_105,15765277.0,15765277.0,110260.0,110260.0,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Białołęka,Tarchomin,ul. Vincenta van Gogha,1,03-188,Elżbieta,Gęsina,228844380,226146716,http://www.cvlo.waw.pl,http://lo105.bip.um.warszawa.pl,sekretariat@cvlo.waw.pl,105.0,nie,jednostka budżetowa,838.0,,838.0,29.0,,29.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/110260,,Poradnia Psychologiczno-Pedagogiczna nr 21,,,"20,95335271","52,3137169","7496819,045","5797805,492",,,1087.0,,
194,LO_119,LO_119,15759064.0,15759064.0,16429.0,16429.0,CXIX Liceum Ogólnokształcące im. Jacka Kuronia,CXIX Liceum Ogólnokształcące im. Jacka Kuronia,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Mirów,ul. Złota,58,00-821,Teresa,Wesołowska,226201141,226202705,http://www.lokuronia.edu.pl,http://zlota58.edu.pl/bip.htm,sekretariat@zlota58.edu.pl,119.0,nie,jednostka budżetowa,479.0,,479.0,18.0,,18.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/16429,,Poradnia Psychologiczno – Pedagogiczna nr 6,,,"20,99927988","52,23062519","7499950,802","5788559,356",,,876.0,,
195,LO_122,LO_122,15164566.0,15164566.0,34506.0,34506.0,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Słodowiec,ul. Leopolda Staffa,3/5,01-891,Włodzimierz,Sacewicz,228640891,228345854,http://domeyko.edu.pl,http://lo122.bip.um.warszawa.pl,sekretariat@domeyko.edu.pl,122.0,nie,jednostka budżetowa,610.0,,610.0,20.0,,20.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/34506,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,96160929","52,27350115","7497379,702","5793330,583", certyfikat Wars i Sawa,,973.0,,
196,LO_137,LO_137,142394606.0,142394606.0,44248.0,44248.0,CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana,CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Targówek,Targówek Mieszkaniowy,ul. Olgierda,35/41,03-536,Jolanta,Kaczmara,225119500,225119511,http://lo137.edu.pl,http://lo137.bip.um.warszawa.pl,lo137@edu.um.warszawa.pl,137.0,nie,jednostka budżetowa,724.0,,724.0,24.0,,24.0,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/44248,,Poradnia Psychologiczno-Pedagogiczna nr 13,,,"21,04518918","52,2723188","7503084,399","5793199,298",,tak,936.0,,
197,LO_155,LO_155,367334691.0,367334691.0,133453.0,133453.0,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,CLV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterek Powstania Warszawskiego,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Wierzbno,ul. Wojciecha Żywnego,25,02-701,Anna,Grabek,226202506,226204931,http://www.liceumtwarda.edu.pl,http://lo155.bip.um.warszawa.pl,lo155@edu.um.warszawa.pl,155.0,nie,jednostka budżetowa,670.0,,670.0,22.0,,22.0,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/133453,,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,0258654","52,19198019","7501768,639","5784259,92",,,2559.0,,
198,LO_156,LO_156,367334700.0,367334700.0,133454.0,133454.0,"CLVI Liceum Ogólnokształcące Integracyjne ""Przy Łazienkach Królewskich""","CLVI Liceum Ogólnokształcące Integracyjne ""Przy Łazienkach Królewskich""",liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Sielce,ul. Podchorążych,49/61,00-722,Małgorzata,Kułaczkowska,228417161,228417161,http://lo156.pl,http://lo156.bip.um.warszawa.pl,lo156@edu.um.warszawa.pl,156.0,nie,jednostka budżetowa,323.0,,323.0,17.0,,17.0,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/133454,,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,03994693","52,20950434","7502730,44","5786210,14",,,2560.0,,
199,LO_157,LO_157,368180988.0,368180988.0,263334.0,263334.0,CLVII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,CLVII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,liceum ogólnokształcące,liceum ogólnokształcące,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Śródmieście Północne,ul. Świętokrzyska,18A,00-052,Małgorzata,Król,228269792,228281462,http://lo157.waw.pl,http://lo157.bip.um.warszawa.pl,lo157@edu.um.warszawa.pl,157.0,nie,jednostka budżetowa,628.0,,628.0,20.0,,20.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,,,,,https://rspo.gov.pl/rspo/263334,,Poradnia Psychologiczno-Pedagogiczna nr 1,,,"21,01196366","52,23643516","7500817,242","5789205,859",,,2561.0,,
